expression,side,n_sequences,AB_n,AC_n,CB_n,primary_eligible,A_before_B_percent,A_before_C_percent,C_before_B_percent,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead,mean_A_B_lead,positive_lead_percent
Angry,left,10,10,10,10,True,100.0,70.0,90.0,7.0,12.5,23.5,14.5,17.5,100.0
Angry,right,10,10,10,10,True,100.0,80.0,90.0,8.5,17.0,22.0,14.0,15.8,100.0
Bored,left,9,9,9,9,True,100.0,55.55555555555556,77.77777777777779,7.0,9.0,11.0,5.0,4.333333333333333,100.0
Bored,right,9,9,9,9,True,77.77777777777779,66.66666666666666,88.88888888888889,7.0,12.0,13.0,6.0,9.88888888888889,77.77777777777779
Cute,left,10,10,10,10,True,100.0,70.0,90.0,7.0,10.5,12.5,6.5,6.6,100.0
Cute,right,10,10,10,10,True,80.0,60.0,90.0,9.5,11.0,15.5,6.0,7.3,80.0
Despise,left,10,10,10,10,True,90.0,80.0,70.0,8.0,19.5,20.5,12.0,10.3,90.0
Despise,right,10,10,10,10,True,80.0,70.0,80.0,9.0,12.0,14.5,7.5,11.6,80.0
Distrust,left,10,10,10,10,True,90.0,40.0,100.0,7.0,6.5,9.5,2.0,4.3,90.0
Distrust,right,10,10,10,10,True,80.0,60.0,90.0,9.5,10.5,12.0,2.5,4.3,80.0
Empathy,left,10,10,10,10,True,90.0,30.0,90.0,7.5,8.0,10.0,3.0,3.4,90.0
Empathy,right,10,10,10,10,True,80.0,70.0,70.0,9.0,13.5,14.5,6.0,6.4,80.0
Expressions Anger,left,10,10,10,10,True,100.0,90.0,60.0,9.0,19.5,20.0,11.5,10.8,100.0
Expressions Anger,right,10,10,10,10,True,80.0,70.0,80.0,13.0,14.5,18.0,3.5,5.3,80.0
Expressions Confusion,left,10,10,10,10,True,90.0,70.0,80.0,7.5,12.5,14.5,6.5,8.6,90.0
Expressions Confusion,right,10,10,10,10,True,70.0,60.0,50.0,14.0,16.0,19.0,3.0,3.8,70.0
Expressions Contempt,left,10,10,10,10,True,90.0,60.0,70.0,7.5,14.0,20.5,12.5,10.1,90.0
Expressions Contempt,right,10,10,10,10,True,70.0,70.0,80.0,14.5,17.5,20.0,6.0,14.4,70.0
Expressions Desire,left,10,10,10,10,True,90.0,70.0,70.0,7.5,16.0,18.0,9.0,19.0,90.0
Expressions Desire,right,10,10,10,10,True,90.0,80.0,60.0,10.5,15.5,17.5,5.5,8.5,90.0
Expressions Disgust,left,10,10,10,10,True,100.0,90.0,60.0,7.0,14.5,16.0,10.5,16.3,100.0
Expressions Disgust,right,10,10,10,10,True,90.0,70.0,80.0,11.5,17.0,20.5,7.0,13.7,90.0
Expressions Excitement,left,10,10,10,10,True,100.0,90.0,70.0,8.0,13.5,16.0,8.5,10.9,100.0
Expressions Excitement,right,10,10,10,10,True,70.0,60.0,90.0,14.0,13.5,17.5,4.0,5.0,70.0
Expressions Fear,left,10,10,10,10,True,100.0,80.0,90.0,8.0,13.0,14.5,8.5,7.1,100.0
Expressions Fear,right,10,10,10,10,True,70.0,50.0,80.0,13.5,13.5,19.0,2.0,3.4,70.0
Expressions Happiness,left,10,10,10,10,True,100.0,100.0,80.0,7.5,22.5,25.0,16.5,17.3,100.0
Expressions Happiness,right,10,10,10,10,True,80.0,60.0,80.0,14.5,18.5,21.0,5.5,8.3,80.0
Expressions Sadness,left,10,10,10,10,True,90.0,90.0,70.0,7.0,14.0,15.5,10.0,11.5,90.0
Expressions Sadness,right,10,10,10,10,True,70.0,60.0,80.0,14.5,13.0,17.0,3.0,4.9,70.0
Expressions Surprise,left,10,10,10,10,True,100.0,100.0,70.0,8.0,21.0,23.0,15.5,21.4,100.0
Expressions Surprise,right,10,10,10,10,True,100.0,90.0,90.0,13.5,22.5,25.5,12.0,13.9,100.0
Fear,left,10,10,10,10,True,100.0,100.0,90.0,8.5,19.5,23.0,14.0,19.9,100.0
Fear,right,10,10,10,10,True,100.0,90.0,60.0,10.0,22.5,24.5,13.5,15.5,100.0
Happy,left,10,10,10,10,True,100.0,80.0,90.0,7.5,11.5,17.0,9.0,12.9,100.0
Happy,right,10,10,10,10,True,90.0,80.0,80.0,9.0,13.5,16.5,9.5,8.4,90.0
Joy,left,10,10,10,10,True,100.0,90.0,80.0,9.0,21.0,31.5,25.5,27.0,100.0
Joy,right,10,10,10,10,True,90.0,90.0,80.0,10.0,21.0,23.0,14.5,17.5,90.0
Judgemental,left,10,10,10,10,True,100.0,80.0,60.0,8.0,13.0,15.5,6.5,7.6,100.0
Judgemental,right,10,10,10,10,True,90.0,80.0,90.0,9.0,15.5,18.5,10.0,11.4,90.0
Pain,left,10,10,10,10,True,100.0,100.0,40.0,7.5,20.5,21.0,12.5,23.7,100.0
Pain,right,10,10,10,10,True,100.0,100.0,40.0,10.0,28.5,33.5,22.5,24.4,100.0
Playful,left,10,10,10,10,True,100.0,80.0,80.0,7.5,11.5,12.0,6.0,6.4,100.0
Playful,right,10,10,10,10,True,100.0,80.0,60.0,7.0,14.0,18.0,7.5,10.4,100.0
Romantic,left,10,10,10,10,True,100.0,60.0,80.0,8.5,10.0,11.5,3.0,5.5,100.0
Romantic,right,10,10,10,10,True,70.0,60.0,90.0,9.0,8.5,10.0,3.0,6.8,70.0
Sad,left,10,10,10,10,True,80.0,40.0,90.0,8.0,9.5,11.5,3.0,7.3,80.0
Sad,right,10,10,10,10,True,100.0,60.0,80.0,9.5,10.0,11.5,3.0,10.0,100.0
Seriousness,left,10,10,10,10,True,80.0,60.0,90.0,7.5,11.0,15.5,7.0,6.5,80.0
Seriousness,right,10,10,10,10,True,70.0,40.0,100.0,8.0,4.5,11.0,2.5,1.9,70.0
Silly,left,10,10,10,10,True,100.0,100.0,50.0,8.5,23.5,27.5,17.5,18.2,100.0
Silly,right,10,10,10,10,True,100.0,100.0,50.0,9.5,26.0,33.0,21.0,25.7,100.0
Sleepy,left,12,12,12,12,True,91.66666666666666,91.66666666666666,75.0,9.0,17.0,18.5,9.0,21.916666666666668,91.66666666666666
Sleepy,right,12,12,12,12,True,100.0,91.66666666666666,58.333333333333336,9.5,20.5,23.0,12.0,20.833333333333332,100.0
Subtle,left,9,9,9,9,True,77.77777777777779,22.22222222222222,100.0,7.0,7.0,9.0,2.0,2.0,77.77777777777779
Subtle,right,9,9,9,9,True,77.77777777777779,44.44444444444444,77.77777777777779,9.0,9.0,10.0,1.0,1.3333333333333333,77.77777777777779
Talking,left,10,10,10,10,True,100.0,100.0,70.0,8.0,11.0,13.0,5.5,9.3,100.0
Talking,right,10,10,10,10,True,100.0,100.0,40.0,10.5,18.0,18.0,8.0,9.6,100.0
Wicked,left,10,10,10,10,True,80.0,80.0,80.0,7.0,16.0,17.5,11.5,11.0,80.0
Wicked,right,10,10,10,10,True,90.0,80.0,100.0,8.0,23.5,27.5,16.5,13.8,90.0
With Forehead Wrinkles Angry,left,10,10,10,10,True,100.0,60.0,80.0,7.0,10.5,17.5,10.5,13.4,100.0
With Forehead Wrinkles Angry,right,10,10,10,10,True,90.0,70.0,50.0,8.5,14.5,17.5,9.0,10.9,90.0
